id,question,question_category,number_of_answer,number_of_vote,number_of_view,answer_link,question_tag,answer
p-2-a-0,জঙ্গাস্থি কি?,জীববিজ্ঞান,1,0,12,https://www.sciencebee.com.bd/qna/33048/%E0%A6%9C%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BF-%E0%A6%95%E0%A6%BF,"['অস্থি', 'bone']","জঙ্ঘাস্থি বা টিবিয়া ,মেরুদণ্ডীদের হাঁটু এর নিচে অবস্থিত পায়ের সবচেয়ে বড় ও শক্ত হাড় এবং এটি হাটুকে পায়ের গোড়ালির সাথে যুক্ত করে। এটি পায়ের মিডিয়ালি অবস্থিত। এটি অনুজঙ্ঘাস্থির সাথে যুক্ত থেকে সিনডেসমোসিস সন্ধি গঠন করে। জঙ্ঘাস্থি দেহের ওজন বহনকারী সবচেয়ে শক্তিশালি অস্থি।"
p-2-a-None,ভেজা জায়গায় কোন ধরনের শিরিষ কাগজ ব্যবহার করা হয়?,বিবিধ,0,0,13,https://www.sciencebee.com.bd/qna/33043/%E0%A6%9C%E0%A6%BE%E0%A7%9F%E0%A6%97%E0%A6%BE%E0%A7%9F-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B9%E0%A6%BE%E0%A6%B0,"['সিরিস', 'কাগজ', 'পানি']",
p-2-a-None,How should this medicine be used?,রসায়ন,0,0,8,https://www.sciencebee.com.bd/qna/33042/should-medicine,"['health', 'medicine']",
p-2-a-None,"মস্তিষ্কের নিউরন যেহেতু বিভাজিত হতে পারে না, তাহলে মস্তিষ্কে ""ব্রেন ক্যান্সার"" কিভাবে হয়? (সহজে ও বিস্তারিত ব্যাখ্যা)",স্বাস্থ্য ও চিকিৎসা,0,0,27,https://www.sciencebee.com.bd/qna/33040/%E0%A6%AE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%95%E0%A7%87%E0%A6%B0,"['রাসায়নিক', 'পদার্থ', 'চিকিৎসা']",
p-2-a-1,টাইম ট্রাভেল কি সম্ভব?,পদার্থবিজ্ঞান,2,+1,31,https://www.sciencebee.com.bd/qna/33039/%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AD%E0%A7%87%E0%A6%B2-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AD%E0%A6%AC,"['টাইম', 'ট্রাভেল', 'লুপ', 'ডাইমেনশন']","There is currently no scientific evidence to suggest that time travel is possible. While the concept of time travel has been explored in various works of science fiction, it remains purely fictional at this time.In physics, the concept of time is closely tied to the concept of space, and many theories in physics, such as relativity, suggest that the flow of time can be affected by the presence of matter and energy. However, these theories do not allow for time travel into the past.It is important to note that time travel is still just a theoretical concept and has not been proven to be possible by any scientific experiments or observations."
p-2-a-2,টাইম ট্রাভেল কি সম্ভব?,পদার্থবিজ্ঞান,2,+1,31,https://www.sciencebee.com.bd/qna/33039/%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AD%E0%A7%87%E0%A6%B2-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AD%E0%A6%AC,"['টাইম', 'ট্রাভেল', 'লুপ', 'ডাইমেনশন']","স্টেফিন হকিং এর মতে টাইম ট্রাভেল সম্ভব না। এ ব্যপারে তিনি বলেছেন যে, “আমার কাছে পরীক্ষামূলক প্রমাণ আছে যে সময় ভ্রমণ সম্ভাবনাময় নয়।” টাইম প্যারাডেক্স গুলো যেন টাইম ট্রাভেল এর হিসেব নিকেশ আরো এলো মেলো করে দেয়। টাইম ট্রাভেল এর ক্ষেত্রে আপনি যখন টাইম মেশিনে করে অতীতে যাবেন।"
p-2-a-None,কিছু ভৌগলিক টার্ম,বাংলাদেশ ও বিশ্ব,0,0,12,https://www.sciencebee.com.bd/qna/33028/%E0%A6%AD%E0%A7%8C%E0%A6%97%E0%A6%B2%E0%A6%BF%E0%A6%95-%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AE,"['দেশ', 'ভৌগলিক', 'আন্তর্জাতিক']",
p-2-a-None,চুলের ব্যাবহারের জন্যে Minoxidil ৫% &finastride জাতীয় ঔষদে ড্রপ টেস্ট রেজাল্ট পজিটিভ আসে কি? [poll],স্বাস্থ্য ও চিকিৎসা,0,0,12,https://www.sciencebee.com.bd/qna/33027/%26finastride,"['ডোপ', 'মাদক', 'টেস্ট', 'রক্ত', 'পদার্থ']",
p-2-a-None,ইলেকট্রিক শকের কি কোনো দীর্ঘস্থায়ী প্রভাব আছে আমাদের শরীরে?,চিন্তা ও দক্ষতা,0,0,14,https://www.sciencebee.com.bd/qna/33025/%E0%A6%A6%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%98%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A7%9F%E0%A7%80,"['ইলেকট্রিক', 'শক', 'বিদ্যুৎ']",
p-2-a-None,নদীর পানিতে বিভিন্ন জায়গায় ছোট ছোট ঘূর্ণন দেখা যায়। এটি কিভাবে সৃষ্টি হয়?,তত্ত্ব ও গবেষণা,0,0,16,https://www.sciencebee.com.bd/qna/33024/%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%AC%E0%A6%BF%E0%A6%AD%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A8,"['নদী', 'পানি', 'ঘূর্ণন']",
p-2-a-3,ভূমিকম্প হলে চলন্ত বিমানের উপর কোনো প্রভাব পড়ে?,চিন্তা ও দক্ষতা,1,0,28,https://www.sciencebee.com.bd/qna/33022/%E0%A6%AD%E0%A7%82%E0%A6%AE%E0%A6%BF%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA-%E0%A6%AC%E0%A6%BF%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0,"['ভূমিকম্প', 'বিমান']","ভূমিকম্পের ফলে যদি ভূমি ক্ষতিগ্রস্ত হয় তবে রাডারের সাথে সম্পর্ক বিচ্ছিন্ন হয়ে যাবে, আর রাডারের সাথে সম্পর্ক বিচ্ছিন্ন হয়ে গেলে পাইলট দিক হারায় ফেলবে। কম্পনের ফলে যদি কন্ট্রোল রুম ক্ষতিগ্রস্ত হয়, তবে বিমানের সাথে কন্ট্রোল রুমের যোগাযোগ বিচ্ছিন্ন হয়ে যাবে, এমন অবস্থায় উড়ন্ত বিমান যদি কন্ট্রোল রুমের সাথে যোগাযোগ হারায় ফেলে তবে নিশ্চিত বিমান দিক হারায় ফেলবে, এবং এক সময় গিয়ে ভুমিতে বা জলে আঁচড়ে পরবে। সুতরাং ভুমিকম্প হলে বিমান ক্ষতিগ্রস্ত হবে। কন্ট্রোল&zwnj; রুমের সহায়তায় রাডার ছাড়া বিমান সেফ ল্যান্ডিং প্রায় অসম্ভব। আর এর ফলে বিমানে থাকা ব্যক্তি গুলো বিপদে থাকবে, সুতারাং মাটিতে হওয়া ভুমিকম্প আকাশে উড়তে থাকা বিমানের ক্ষতি করতে সক্ষম ।-Partha Sarkar"
p-2-a-4,সিন্যাপ্স কাকে বলে ?,জীববিজ্ঞান,1,0,26,https://www.sciencebee.com.bd/qna/33018/%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A7%8D%E0%A6%B8-%E0%A6%95%E0%A6%BE%E0%A6%95%E0%A7%87,"['#biology', '#answer']","সিন্যাপসদুটি নিউরনের সংযােগস্থলকে অথবা একটি নিউরন ও একটি ইফেক্টরের (যেমন পেশি অথবা গ্রন্থি) সংযােগস্থলকে সিন্যাপস বলে। সিন্যাপস এর মাধ্যমে উত্তেজনা বা তথ্য এক নিউরন থেকে অন্য নিউরনে প্রেরিত হয়। এগুলাের মাধ্যমেই প্রান্তীয় স্নায়ু দ্বারা গৃহীত উদ্দীপনা কেন্দ্রীয় স্নায়ুতন্ত্রে প্রেরিত হয় এবং কেন্দ্রের নিদের্শাবলি প্রান্তের সুনির্দিষ্ট অঙ্গে পৌঁছায়। কেন্দ্রীয় স্নায়ুতন্ত্রের সকল উচ্চতর কার্যাবলি যেমন- সমন্বয়, শিক্ষণ, স্মৃতি ইত্যাদি সবকিছুই সম্ভব হয় কেবল সিন্যাপসের জন্য। স্নায়ুতন্ত্রে সিন্যাপস অসংখ্য এবং ধারণা করা হয় এর সংখ্যা প্রায় ১০১৪। এসব সিন্যাপস বিভিন্ন ধরনের ও বিভিন্ন নামের হয়ে থাকে।সিন্যাপসেরগঠনঃদুটি নিউরনের অংশ মিলিত হয়ে সিন্যাপস গঠন করে। যে নিউরনের অ্যাক্সন সিন্যাপস গঠনে অংশ নেয় তাকে প্রিসিন্যাপটিক নিউরন বলে। সিন্যাপস গঠনকারী অন্য নিউরনকে পােস্ট সিন্যাপটিক নিউরন বলে। প্রিসিন্যাপটিক নিউরনের প্রিসিন্যাপটিক মেমব্রেন এবং পােস্টসিন্যাপটিক নিউরনের পােস্টসিন্যাপটিক মেমব্রেন সম্মিলিতভাবে সিন্যাপস গঠন করে। এ দুটি মেমব্রেনের মাঝে প্রায় ২০ ন্যানােমিটার দৈর্ঘ্যের তরল পূর্ণ ফাঁক থাকে একে সিন্যাপটিক ক্লেফট (Synaptic cleft) বলে। প্রিসিন্যাপটিক মেমব্রেন প্রকৃতপক্ষে প্রিসিন্যাপটিক নিউরনের অ্যাক্সনের স্ফীত প্রান্তের অংশ। অ্যাক্সনের স্ফীত প্রান্তকে সিন্যাপটিক নব (Synaptic knob) বলে। এ নবের ভিতরে অসংখ্য মাইটোকন্ড্রিয়া, মাইক্রোফিলামেট এবং নিউরােট্রান্সমিটার যুক্ত ভেসিকল থাকে। আর পােস্টসিন্যাপটিক মেমব্রেন, পােস্টসিন্যাপটিক নিউরনের সােমা বা ডেনড্রাইট বা অ্যাক্সনের অংশ।সিন্যাপসেরকাজঃএগুলাে এক নিউরন থেকে অন্য নিউরনের তথ্যের প্রেরণ কেন্দ্র হিসেবে কাজ করে।এরা উদ্দীপনা বাছাই করে কেন্দ্রীয় স্নায়ুতন্ত্রে প্রেরণ করে।এরা নিউরােট্রান্সমিটার বস্তু ক্ষরণ করে।এরা বিভিন্ন নিউরনের মধ্যে সমন্বয় ঘটায় এবং স্নায়ু উদ্দীপনার গতিপথ নির্ধারণ করে।স্নায়ুতন্ত্রের স্নায়ুসমূহ অতি উদ্দীপিত হলে অবসাদ গ্রস্থ (fatigued) হতে বাধা দেয়া।খুব অল্প মাত্রার স্নায়ু উদ্দীপনাকে ফিল্টার করে বাদ দেয়া (যেমন ঘড়ির কাটার খুব সামান্য শব্দ শুনি না)।সব উদ্দীপনার ক্রিয়াকে সমষ্টিবদ্ধ করে (summation) তথ্য সংগ্রহে সহায়তা করা।স্মৃতি শক্তির ভৌত কাঠামাে হিসেবে কাজ করা।"
p-2-a-None,What is an EMI calculator for a loan?,প্রযুক্তি,0,+1,18,https://www.sciencebee.com.bd/qna/33016/calculator,"['technology', 'time']",
p-2-a-None,What is a time-wrap filter app?,লাইফ,0,0,13,https://www.sciencebee.com.bd/qna/33015/what-filter,"['time', 'technology']",
p-2-a-None,What Is Primovir Nirmatrelvir Ritonavir ?,স্বাস্থ্য ও চিকিৎসা,0,+1,11,https://www.sciencebee.com.bd/qna/33014/nirmatrelvir,"['200', 'molnupiravir']",
p-2-a-None,কোনোপ্রকার ময়লা না ধরা বা ময়লার ধারে কাছে না যাওয়া সত্যেও হাতের নখের মধ্যে ময়লা জমার কারণ কি?,স্বাস্থ্য ও চিকিৎসা,0,+1,21,https://www.sciencebee.com.bd/qna/33011/%E0%A6%95%E0%A7%8B%E0%A6%A8%E0%A7%8B%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%95%E0%A6%BE%E0%A6%B0,"['হাত', 'স্বাস্থ্য']",
p-2-a-None,জলজ প্রাণিদের ঠান্ডা লাগেনা?,প্রাণিবিদ্যা,0,0,26,https://www.sciencebee.com.bd/qna/33010/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A3%E0%A6%BF%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%A0%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%BE,"['প্রানি', 'জলজ']",
p-2-a-None,What is Benefits of Molnupiravir 200 mg,স্বাস্থ্য ও চিকিৎসা,0,0,12,https://www.sciencebee.com.bd/qna/33009/molnupiravir,"['molnupiravir', '200']",
p-2-a-None,What is Benefits of Molnupiravir 200 mg,স্বাস্থ্য ও চিকিৎসা,0,+1,11,https://www.sciencebee.com.bd/qna/33008/molnupiravir,"['molnupiravir', 'capsules', '200', 'mg']",
p-2-a-None,চিকেন পক্স এর দাগ দূর করার জন্য কোন ক্রিম ব্যবহার করবো?,স্বাস্থ্য ও চিকিৎসা,0,0,29,https://www.sciencebee.com.bd/qna/33005/%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%AE-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B9%E0%A6%BE%E0%A6%B0,"['দাগ', 'কালোদাগ']",
p-2-a-5,"ময়না, টিয়া পাখি ইত্যাদিকে ভালোভাবে শিখাতে পারলে কথা বলতে পারে। এটা কিভাবে হয়?",জীববিজ্ঞান,1,+1,33,https://www.sciencebee.com.bd/qna/33004/%E0%A6%87%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A6%E0%A6%BF%E0%A6%95%E0%A7%87-%E0%A6%AD%E0%A6%BE%E0%A6%B2%E0%A7%8B%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%87,"['পাখি', 'কথা', 'বলা', 'জীববিজ্ঞান']",https://www.google.com/amp/s/www.prothomalo.com/amp/story/fun/%25E0%25A6%25AE%25E0%25A7%259F%25E0%25A6%25A8%25E0%25A6%25BE-%25E0%25A6%25AA%25E0%25A6%25BE%25E0%25A6%2596%25E0%25A6%25BF-%25E0%25A6%2595%25E0%25A7%2580%25E0%25A6%25AD%25E0%25A6%25BE%25E0%25A6%25AC%25E0%25A7%2587-%25E0%25A6%2595%25E0%25A6%25A5%25E0%25A6%25BE-%25E0%25A6%25AC%25E0%25A6%25B2%25E0%25A7%2587-2কপিরাইটেরঝামেলাহতেপারেতাইলিংকদিয়েদিলাম
